board_size,max_exponent,layer_sum,max_value,num_states
3,10,1436,9,9086
3,10,770,9,13436
3,10,488,7,764
3,10,888,8,194
3,10,974,9,36816
3,10,140,5,2807
3,10,934,9,39439
3,10,228,7,36616
3,10,724,9,46401
3,10,172,7,14753
3,10,572,9,23495
3,10,134,6,25621
3,10,524,8,29773
3,10,1288,9,938
3,10,64,5,8705
3,10,778,9,22858
3,10,242,6,5711
3,10,528,8,33506
3,10,936,8,102
3,10,514,7,19
3,10,42,5,276
3,10,24,3,998
3,10,236,7,38194
3,10,608,9,41042
3,10,904,8,33
3,10,468,8,46447
3,10,600,8,37090
3,10,844,9,48455
3,10,544,7,33
3,10,880,9,51867
3,10,1142,9,20379
3,10,378,8,41645
3,10,176,6,25865
3,10,622,9,42707
3,10,514,8,13435
3,10,178,7,18644
3,10,36,3,1350
3,10,836,9,35974
3,10,854,9,57989
3,10,470,7,2772
3,10,1378,9,4742
3,10,672,9,49101
3,10,556,8,40300
3,10,856,8,1422
3,10,1082,9,33646
3,10,210,6,12282
3,10,550,8,32840
3,10,178,6,23474
3,10,348,8,36945
3,10,574,8,35213
3,10,1076,9,34145
3,10,688,8,20730
3,10,66,5,9541
3,10,848,8,1431
3,10,1322,9,13007
3,10,468,7,2734
3,10,370,8,41364
3,10,642,8,6436
3,10,674,9,44348
3,10,792,9,46111
3,10,172,5,18
3,10,558,9,15755
3,10,504,8,41644
3,10,44,5,520
3,10,1120,9,29243
3,10,236,6,6897
3,10,1350,9,5118
3,10,1000,9,21337
3,10,740,8,6235
3,10,698,8,14918
3,10,390,8,33267
3,10,330,8,26398
3,10,46,3,387
3,10,26,4,315
3,10,244,6,4970
3,10,502,8,40839
3,10,18,2,175
3,10,1270,9,4549
3,10,900,9,19955
3,10,1248,9,8672
3,10,504,7,199
3,10,1508,9,269
3,10,142,7,690
3,10,302,6,52
3,10,718,9,50974
3,10,846,9,56939
3,10,776,8,938
3,10,56,5,4287
3,10,234,7,37626
3,10,462,7,2589
3,10,540,7,63
3,10,978,9,34056
3,10,1268,9,5253
3,10,1016,9,11880
3,10,246,6,4876
3,10,830,9,56572
3,10,150,6,27738
3,10,302,7,39452
3,10,14,2,136
3,10,48,5,1350
3,10,1458,9,3132
3,10,306,8,18618
3,10,112,6,17218
3,10,40,3,1005
3,10,174,6,26504
3,10,208,7,31128
3,10,392,8,31695
3,10,850,9,53201
3,10,1060,9,29873
3,10,302,8,15755
3,10,72,4,2972
3,10,350,7,27245
3,10,210,7,30847
3,10,726,9,48850
3,10,94,6,7395
3,10,580,9,26023
3,10,1282,9,388
3,10,330,7,21783
3,10,1454,9,6858
3,10,276,7,33386
3,10,862,9,67078
3,10,1150,9,15532
3,10,192,6,22127
3,10,660,8,19383
3,10,1388,9,7646
3,10,882,9,42050
3,10,392,7,7093
3,10,434,7,6309
3,10,442,7,4880
3,10,924,9,52526
3,10,1332,9,12725
3,10,138,6,25935
3,10,950,8,44
3,10,260,7,29747
3,10,906,9,24246
3,10,1502,9,56
3,10,1184,9,25876
3,10,868,9,41643
3,10,74,6,219
3,10,1062,9,30830
3,10,476,7,2498
3,10,732,8,12064
3,10,36,4,2596
3,10,768,8,989
3,10,1040,9,18915
3,10,916,8,197
3,10,788,8,5922
3,10,406,7,10812
3,10,990,9,38060
3,10,1442,9,4157
3,10,8,2,39
3,10,396,7,10043
3,10,1030,9,2238
3,10,362,8,37691
3,10,706,9,41421
3,10,1466,9,2356
3,10,148,6,25907
3,10,1272,9,3759
3,10,24,2,93
3,10,110,5,11483
3,10,620,8,27390
3,10,48,3,244
3,10,474,7,2674
3,10,388,8,29690
3,10,554,8,36820
3,10,472,7,2873
3,10,136,5,3716
3,10,730,9,52412
3,10,30,4,898
3,10,1340,9,12678
3,10,700,9,53695
3,10,360,8,38034
3,10,1294,9,3751
3,10,910,8,116
3,10,288,7,38448
3,10,864,9,57616
3,10,1260,9,8033
3,10,740,9,36215
3,10,1050,9,33997
3,10,1194,9,21843
3,10,548,8,32095
3,10,782,8,3501
3,10,1198,9,27479
